p= -50 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -49 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -48 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -47 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -46 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -45 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -44 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -43 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -42 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -41 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -40 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -39 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -38 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -37 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -36 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -35 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -34 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -33 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -32 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -31 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -30 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -29 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -28 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -27 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -26 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -25 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -24 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -23 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -22 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -21 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -20 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -19 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -18 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -17 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -16 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -15 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -14 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -13 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -12 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -11 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -10 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -9 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -8 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -7 divFloor(p, sc)= -1 divCeil(p, sc)= 0
p= -6 divFloor(p, sc)= -1 divCeil(p, sc)= 0
